record_id,patta_number,survey_number,owner_name,extent_acres,village,taluk,district,land_type,last_updated,status
1,PT-10245,142/3B,K. Kumar,1.25,Demo Village,Ambattur,Chennai,Nanjai,2024-01-15,ACTIVE
2,PT-88210,89/1A,R. Sharma,2.50,Demo Village,Ambattur,Chennai,Punjai,2023-11-20,ACTIVE
3,PT-30112,204/5,M. Anbazhagan,0.75,East Village,Ambattur,Chennai,Nanjai,2024-02-10,ACTIVE
4,PT-55019,12/4A,S. Priya,3.10,West Village,Sriperumbudur,Kanchipuram,Punjai,2023-09-05,ACTIVE
5,PT-99401,310/2C,V. Ramanathan,1.80,North Village,Ponneri,Tiruvallur,Nanjai,2024-03-01,ACTIVE
6,PT-10246,142/4A,A. Selvam,0.85,Demo Village,Ambattur,Chennai,Nanjai,2023-12-12,ACTIVE
7,PT-10247,143/1,B. Sundaram,2.10,Demo Village,Ambattur,Chennai,Punjai,2024-01-08,ACTIVE
8,PT-10248,145/2B,C. Kavitha,1.50,Demo Village,Ambattur,Chennai,Nanjai,2023-10-30,ACTIVE
9,PT-10249,146/3,D. Rajesh,4.20,Demo Village,Ambattur,Chennai,Punjai,2024-02-28,ACTIVE
10,PT-10250,147/1A,E. Lakshmi,0.60,Demo Village,Ambattur,Chennai,Nanjai,2023-08-19,ACTIVE
11,PT-20101,55/2A,F. Venkatesh,1.10,East Village,Ambattur,Chennai,Nanjai,2024-01-22,ACTIVE
12,PT-20102,56/1,G. Geetha,2.00,East Village,Ambattur,Chennai,Punjai,2023-11-15,ACTIVE
13,PT-20103,57/3B,H. Balaji,1.45,East Village,Ambattur,Chennai,Nanjai,2024-02-14,ACTIVE
14,PT-20104,58/4,I. Revathi,3.30,East Village,Ambattur,Chennai,Punjai,2023-10-01,ACTIVE
15,PT-20105,59/2C,J. Karthik,0.95,East Village,Ambattur,Chennai,Nanjai,2024-03-05,ACTIVE
16,PT-30201,101/1A,K. Sangeetha,1.75,West Village,Sriperumbudur,Kanchipuram,Nanjai,2023-12-01,ACTIVE
17,PT-30202,102/2,L. Murugan,2.80,West Village,Sriperumbudur,Kanchipuram,Punjai,2024-01-18,ACTIVE
18,PT-30203,103/4B,M. Vijaya,0.50,West Village,Sriperumbudur,Kanchipuram,Nanjai,2023-09-25,ACTIVE
19,PT-30204,104/1C,N. Saravanan,3.60,West Village,Sriperumbudur,Kanchipuram,Punjai,2024-02-02,ACTIVE
20,PT-30205,105/3,O. Deepa,1.20,West Village,Sriperumbudur,Kanchipuram,Nanjai,2023-11-08,ACTIVE
21,PT-40301,77/1B,P. Ramesh,2.25,South Village,Sriperumbudur,Kanchipuram,Punjai,2024-01-30,ACTIVE
22,PT-40302,78/2A,Q. Meena,1.15,South Village,Sriperumbudur,Kanchipuram,Nanjai,2023-10-12,ACTIVE
23,PT-40303,79/4,R. Prakash,0.90,South Village,Sriperumbudur,Kanchipuram,Nanjai,2024-02-20,ACTIVE
24,PT-40304,80/3C,S. Janaki,4.00,South Village,Sriperumbudur,Kanchipuram,Punjai,2023-08-30,ACTIVE
